_id,category,correctAnswer,difficulty,possibleAnswers,question
6263397289c026892f5d6824,Sports,Los Angeles Rams,easy,"[""New York Jets"",""Los Angeles Rams"",""Las Vegas Raiders"",""Buffalo Bills""]",Who won Super Bowl LVI?
62633a2389c026892f5d6825,Sports,Lacrosse,medium,"[""Basketball"",""Soccer"",""Hockey"",""Lacrosse""]",What is the national sport of Canada?
62645d6489c026892f5d6826,Sports,Leprechaun,easy,"[""Leprechaun"",""Bull"",""Lizard"",""Ben Affleck""]",What is the Mascot of the Boston Celtics?
62645e3089c026892f5d6827,Sports,4,easy,"[""0"",""4"",""7"",""3""]",How many World Cups have the US Womens National Soccer team won?
62645e7689c026892f5d6828,Sports,4,easy,"[""2"",""1"",""7"",""4""]",The Olympics are held every __ years?
62645e9a89c026892f5d6829,Sports,6,easy,"[""2"",""1"",""6"",""4""]",In football how many points is a touchdown?
62645f1589c026892f5d682a,Sports,Hat Trick,medium,"[""Leg Play"",""Hat Trick"",""Necklace Joke"",""Sock Game""]",What is it called in soccer when a single player scores 3 goals in the same match?
6264600c89c026892f5d682b,Sports,National Basketball Association,medium,"[""National Baseball Association"",""No Balls Allowed"",""No Boys Association"",""National Basketball Association""]",What does NBA stand for?
6264605e89c026892f5d682c,Sports,26.2,medium,"[""13"",""36.5"",""26.2"",""24.2""]",How many miles are a marathon?
6264609c89c026892f5d682d,Sports,Bike,medium,"[""Swim"",""Run"",""Bike"",""Power Walk""]",What do kind of race is the Tour de France?
6264610a89c026892f5d682e,Sports,28,hard,"[""28"",""31"",""39"",""56""]",How many sports were included in the 2008 Summer Olympics?
626463f489c026892f5d682f,Sports,1990,hard,"[""1958"",""1990"",""1985"",""2002""]",In what year were women allowed to complete in the Olympics?
6264643a89c026892f5d6830,Sports,Golf,hard,"[""Cricket"",""Badmitten"",""Golf"",""Football""]",What is the only sport that has been played on the Moon?
6264649789c026892f5d6831,Sports,29 min,hard,"[""2 Hour"",""44 min"",""1 Hour"",""29 min""]",How long was the longest recorded tennis match?
626464d589c026892f5d6832,Sports,1,hard,"[""2"",""2.5"",""0.5"",""1""]",How much does an NFL regulation football weigh in pounds?
626465ad89c026892f5d6833,Math,4,easy,"[""2"",""1"",""3"",""4""]",2 + 2
626465cf89c026892f5d6834,Math,6,easy,"[""6"",""2"",""3"",""5""]",3 x 2
626465e489c026892f5d6835,Math,2,easy,"[""6"",""2"",""3"",""5""]",5-Oct
6264660289c026892f5d6836,Math,13,easy,"[""13"",""10"",""3"",""12""]",4 + 9
6264661a89c026892f5d6837,Math,49,easy,"[""14"",""28"",""49"",""48""]",7 x 7
6264664389c026892f5d6838,Math,64,medium,"[""16"",""24"",""64"",""0""]",8^2
6264914a89c026892f5d6839,Math,18,medium,"[""45"",""54"",""18"",""16""]",900 / 50
6264917b89c026892f5d683a,Math,7200,medium,"[""7200"",""2400"",""6000"",""7400""]",1200 x 6
6264919f89c026892f5d683b,Math,51,medium,"[""50"",""204"",""51"",""52""]",102 / 2
626491c489c026892f5d683c,Math,64,medium,"[""64"",""12"",""20"",""60""]",4^3
6264920189c026892f5d683d,Math,2,hard,"[""2"",""3"",""2.5"",""1""]",Solve for x: 50x + 10 = 110
6264924a89c026892f5d683e,Math,7,hard,"[""7"",""5"",""6"",""4""]",Solve for x: -3 + 2x = 11
6264927589c026892f5d683f,Math,-4,hard,"[""-4"",""2.5"",""3.5"",""4""]",Solve for x: 4x + 6 = -10
626492a389c026892f5d6840,Math,3,hard,"[""9"",""4"",""-2"",""3""]",Solve for x: x + 9 = 18 - 2x
626492d189c026892f5d6841,Math,4,hard,"[""10"",""4"",""-2"",""6""]",Solve for x: 2x + 6 = 4x - 2
6264938289c026892f5d6842,TV Shows,Breaking Bad,easy,"[""Mad Men"",""Friends"",""The Walking Dead"",""Breaking Bad""]",What show is the character Walter White from?
626493c989c026892f5d6843,TV Shows,Friends,easy,"[""Mad Men"",""Friends"",""The Walking Dead"",""Breaking Bad""]",What show is the line 'We were on a break!' from?
6264971a89c026892f5d6844,TV Shows,Spongebob Squarepants,easy,"[""Paw Patrol"",""Friends"",""The Walking Dead"",""Spongebob Squarepants""]",What show has a yellow sponge living in a pinneapple?
6264978189c026892f5d6845,TV Shows,Hannah Montana,easy,"[""Suite Life of Zach and Cody"",""Invader Zim"",""Hannah Montana"",""Spongebob Squarepants""]","What show was Miley Cyrus a star on, on Disney Channel?"
6264980789c026892f5d6846,TV Shows,Phineas & Ferb,easy,"[""Suite Life of Zach and Cody"",""Phineas & Ferb"",""Hannah Montana"",""Pair of Kings""]",What Disney Channel show has two brothers creating crazy inventions?
6264984f89c026892f5d6847,TV Shows,Friends,medium,"[""Seinfield"",""Friends"",""King of Queens"",""Everybody Loves Raymond""]",What show on TBS did Courtney Cox star in?
626498a689c026892f5d6848,TV Shows,The Walking Dead,medium,"[""Mad Men"",""Breaking Bad"",""King of Queens"",""The Walking Dead""]",What show on AMC is about a group of people surviving the zombie apocalypse?
626498ef89c026892f5d6849,TV Shows,2014,medium,"[""2010"",""2020"",""2014"",""2019""]",When did Arrested Development get picked up on Netflix to finish its last two seasons?
626499b389c026892f5d684a,TV Shows,Kramer,medium,"[""Jerry"",""Newman"",""Kramer"",""George""]",What was the name of Michael Richards character on Seinfield?
626499e089c026892f5d684b,TV Shows,George,medium,"[""Jerry"",""Newman"",""Kramer"",""George""]",What character exclaims 'There was shrinkage!' on Seinfield?
62649a5689c026892f5d684c,TV Shows,The Boys,hard,"[""The Girls"",""The Men"",""The Boys"",""The Women""]",What show has a character which is essentially an evil Superman?
62649a9989c026892f5d684d,TV Shows,Fezco,hard,"[""Nate"",""Cassie"",""Fezco"",""Maddy""]",Whats the name of Rue's dealer in Euphoria?
62649b7d89c026892f5d684e,TV Shows,Chocolate,hard,"[""Cinnamon"",""Chocolate"",""Vanilla"",""Strawberry""]",What is the kind of Babka that Jerry and Elaine are so set on getting at the bakery in Seinfield?
62649bdd89c026892f5d684f,TV Shows,Eggo Waffles,hard,"[""Imaginary Food"",""Mike's Hugs"",""Eggo Waffles"",""Hoppers Rules""]",What is Eleven's favorite food in Stranger Things?
62649c7189c026892f5d6850,TV Shows,Victorious,hard,"[""Drake & Josh"",""iCarly"",""Victorious"",""Fairly Oddparents""]",What show did Ariana Grande appear in on Nickelodeon?
6264a01789c026892f5d6851,Music,6,easy,"[""4"",""12"",""6"",""1""]",How many strings are on a guitar?
6264a05389c026892f5d6852,Music,Pink Floyd,easy,"[""The Eagles"",""The Beatles"",""Pink Floyd"",""Nirvana""]",What band wrote the song 'Comfortably Numb'?
